Symbol,Name
AAL,American Airlines Group Inc.
DAL,"Delta Air Lines, Inc."
GE,General Electric Company
IQ,"iQIYI, Inc."
NCLH,Norwegian Cruise Line Holdings Ltd.
MSFT,Microsoft Corporation
OXY,Occidental Petroleum Corporation
AAPL,Apple Inc.
ET,Energy Transfer LP
T,AT&T Inc.
NIO,NIO Limited
NLY,"Annaly Capital Management, Inc."
FCX,Freeport-McMoRan Inc.
HAL,Halliburton Company
APA,Apache Corporation
INTC,Intel Corporation
MU,"Micron Technology, Inc."
FB,"Facebook, Inc."
GM,General Motors Company
SLB,Schlumberger Limited
SIRI,Sirius XM Holdings Inc.
SNAP,Snap Inc.
TWTR,"Twitter, Inc."
TEVA,Teva Pharmaceutical Industries Limited
KSS,Kohl's Corporation
DIS,The Walt Disney Company
WORK,"Slack Technologies, Inc."
ABEV,Ambev S.A.
BSX,Boston Scientific Corporation
PFE,Pfizer Inc.
ZM,"Zoom Video Communications, Inc."
HPQ,HP Inc.
BP,BP p.l.c.
LYG,Lloyds Banking Group plc
GILD,"Gilead Sciences, Inc."
KEY,KeyCorp
GPS,"The Gap, Inc."
JBLU,JetBlue Airways Corporation
TSLA,"Tesla, Inc."
AGNC,AGNC Investment Corp.
CVE,Cenovus Energy Inc.
WPX,"WPX Energy, Inc."
JD,"JD.com, Inc."
SQ,"Square, Inc."
KR,The Kroger Co.
HBI,Hanesbrands Inc.
PG,The Procter & Gamble Company
INFY,Infosys Limited
MPC,Marathon Petroleum Corporation
V,Visa Inc.
PE,"Parsley Energy, Inc."
ORCL,Oracle Corporation
DOW,Dow Inc.
SYF,Synchrony Financial
CX,"CEMEX, S.A.B. de C.V."
MTG,MGIC Investment Corporation
BABA,Alibaba Group Holding Limited
RF,Regions Financial Corporation
